"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"111","barney ewell","100M Men",10.4,0.173333333333333,"USA","United States",1948,"S","London","M",2.16e+12,150000000,30,180,71,100
"112","lloyd labeach","100M Men",10.6,0.176666666666667,"PAN","Panama",1948,"B","London","M",2.65e+09,821000,26,185,73,100
"113","eddie tolan","100M Men",10.3,0.171666666666667,"USA","United States",1932,"G","Los Angeles","M",9.96e+11,128000000,23,170,65,100
"114","ralph metcalfe","100M Men",10.3,0.171666666666667,"USA","United States",1932,"S","Los Angeles","M",9.96e+11,128000000,22,180,82,100
"115","harold abrahams","100M Men",10.6,0.176666666666667,"GBR","United Kingdom",1924,"G","Paris","M",3.17e+11,44900000,24,183,75,100
"116","jackson scholz","100M Men",10.7,0.178333333333333,"USA","United States",1924,"S","Paris","M",1.16e+12,117000000,27,172,61,100
"117","arthur porritt","100M Men",10.8,0.18,"NZL","New Zealand",1924,"B","Paris","M",1.2e+10,1350000,23,171,64,100
"118","ralph craig","100M Men",10.8,0.18,"USA","United States",1912,"G","Stockholm","M",8.05e+11,97500000,22,182,73,100
"119","alvah meyer","100M Men",10.9,0.181666666666667,"USA","United States",1912,"S","Stockholm","M",8.05e+11,97500000,23,173,65,100
"120","donald lippincott","100M Men",10.9,0.181666666666667,"USA","United States",1912,"B","Stockholm","M",8.05e+11,97500000,18,178,72,100
"121","archie hahn","100M Men",11,0.183333333333333,"USA","United States",1904,"G","St Louis","M",5.88e+11,83900000,23,167,64,100
"122","nate cartmell","100M Men",11.2,0.186666666666667,"USA","United States",1904,"S","St Louis","M",5.88e+11,83900000,21,182,71,100
"123","thomas burke","100M Men",12,0.2,"USA","United States",1896,"G","Athens","M",4.03e+11,72100000,21,183,66,100
"124","francis lane","100M Men",12.6,0.21,"USA","United States",1896,"B","Athens","M",4.03e+11,72100000,21,170,69,100
"125","asbel kipruto kiprop","1500M Men",213.1,3.55166666666667,"KEN","Kenya",2008,"G","Beijing","M",7.6e+10,39100000,19,190,63,1500
"126","nicholas willis","1500M Men",214.2,3.57,"NZL","New Zealand",2008,"S","Beijing","M",1.37e+11,4280000,25,183,68,1500
"127","medhi baala","1500M Men",214.2,3.57,"FRA","France",2008,"B","Beijing","M",2.28e+12,62300000,29,183,65,1500
"128","noah kiprono ngenyi","1500M Men",212.1,3.535,"KEN","Kenya",2000,"G","Sydney","M",5.47e+10,31500000,21,182,68,1500
"129","hicham el guerrouj","1500M Men",212.3,3.53833333333333,"MAR","Morocco",2000,"S","Sydney","M",1.34e+11,28800000,25,176,58,1500
