"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"227","Luigi Beccali",1932,"M",24,169,63,"Italy","ITA","Athletics Men's 1,500 metres","Gold"
"228","Luigi Beccali",1936,"M",28,169,63,"Italy","ITA","Athletics Men's 1,500 metres","Bronze"
"229","Volker Beck",1980,"M",24,191,82,"East Germany","GDR","Athletics Men's 400 metres Hurdles","Gold"
"230","Volker Beck",1980,"M",24,191,82,"East Germany","GDR","Athletics Men's 4 x 400 metres Relay","Silver"
"231","Marion Becker (Steiner-)",1976,"F",26,167,63,"West Germany","FRG","Athletics Women's Javelin Throw","Silver"
"232","James Charles Beckford",1996,"M",21,178,78,"Jamaica","JAM","Athletics Men's Long Jump","Silver"
"233","Violeta Beclea-Szekely",2000,"F",35,169,52,"Romania","ROU","Athletics Women's 1,500 metres","Silver"
"234","Klaus Beer",1968,"M",25,176,74,"East Germany","GDR","Athletics Men's Long Jump","Silver"
"235","Irina Anatolyevna Beglyakova (-Chelnaya)",1956,"F",23,NA,NA,"Soviet Union","URS","Athletics Women's Discus Throw","Silver"
"236","Anke Behmer (Vater-)",1988,"F",27,174,62,"East Germany","GDR","Athletics Women's Heptathlon","Bronze"
"237","Kerstin Behrendt",1988,"F",21,177,64,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Silver"
"238","Ruth Beita Vila",2016,"F",37,191,72,"Spain","ESP","Athletics Women's High Jump","Gold"
"239","Kenenisa Bekele Beyecha",2004,"M",22,165,56,"Ethiopia","ETH","Athletics Men's 5,000 metres","Silver"
"240","Kenenisa Bekele Beyecha",2004,"M",22,165,56,"Ethiopia","ETH","Athletics Men's 10,000 metres","Gold"
"241","Kenenisa Bekele Beyecha",2008,"M",26,165,56,"Ethiopia","ETH","Athletics Men's 5,000 metres","Gold"
"242","Kenenisa Bekele Beyecha",2008,"M",26,165,56,"Ethiopia","ETH","Athletics Men's 10,000 metres","Gold"
"243","Tariku Bekele Beyecha",2012,"M",25,173,65,"Ethiopia","ETH","Athletics Men's 10,000 metres","Bronze"
"244","Earl Holmes Bell",1984,"M",28,191,77,"United States","USA","Athletics Men's Pole Vault","Bronze"
"245","Gregory Curtis ""Greg"" Bell",1956,"M",26,174,68,"United States","USA","Athletics Men's Long Jump","Gold"
"246","Florence Isabel ""Jane"" Bell (-Walker, -Doane)",1928,"F",17,169,58,"Canada","CAN","Athletics Women's 4 x 100 metres Relay","Gold"
"247","Alessandro ""Sandro"" Bellucci",1984,"M",29,170,56,"Italy","ITA","Athletics Men's 50 kilometres Walk","Bronze"
"248","Irina Nikolayevna Belova (Ilyichova-)",1992,"F",24,175,62,"Unified Team","EUN","Athletics Women's Heptathlon","Silver"
"249","Rhadi Ben Abdesselam",1960,"M",31,180,65,"Morocco","MAR","Athletics Men's Marathon","Silver"
"250","Kurt Bendlin",1968,"M",25,178,91,"West Germany","FRG","Athletics Men's Decathlon","Bronze"
"251","Hasna Benhassi",2004,"F",26,166,47,"Morocco","MAR","Athletics Women's 800 metres","Silver"
"252","Hasna Benhassi",2008,"F",30,166,47,"Morocco","MAR","Athletics Women's 800 metres","Bronze"
"253","Basil Robert Bennett",1920,"M",25,183,77,"United States","USA","Athletics Men's Hammer Throw","Bronze"
"254","Robert Howard ""Bob"" Bennett",1948,"M",28,188,98,"United States","USA","Athletics Men's Hammer Throw","Bronze"
"255","Charles Bennett",1900,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's 1,500 metres","Gold"
"256","Charles Bennett",1900,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's 4,000 metres Steeplechase","Silver"
"257","Charles Bennett",1900,"M",29,NA,NA,"Amateur Athletic Association","GBR","Athletics Men's 5,000 metres, Team","Gold"
"258","John Dale Bennett",1956,"M",26,172,68,"United States","USA","Athletics Men's Long Jump","Silver"
"259","Todd Anthony Bennett",1984,"M",22,170,64,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"260","Joan Benoit (-Samuelson)",1984,"F",27,157,46,"United States","USA","Athletics Women's Marathon","Gold"
"261","Eero Edvin Berg",1924,"M",26,167,58,"Finland","FIN","Athletics Men's 10,000 metres","Bronze"
"262","Eero Edvin Berg",1924,"M",26,167,58,"Finland","FIN","Athletics Men's Cross-Country, Team","Gold"
"263","Kajsa Margareta Bergqvist (-Herngren-)",2000,"F",23,175,59,"Sweden","SWE","Athletics Women's High Jump","Bronze"
"264","Tell Schirnding Berna",1912,"M",20,188,70,"United States","USA","Athletics Men's 3,000 metres, Team","Gold"
"265","Kent Bede Bernard",1964,"M",22,185,77,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay","Bronze"
"266","Livio Berruti",1960,"M",21,180,66,"Italy","ITA","Athletics Men's 200 metres","Gold"
"267","Romeo Bertini",1924,"M",31,NA,NA,"Italy","ITA","Athletics Men's Marathon","Silver"
"268","Gilles Bertould",1972,"M",23,176,63,"France","FRA","Athletics Men's 4 x 400 metres Relay","Bronze"
"269","Nadezhda Viktorovna Besfamilnaya",1976,"F",25,166,55,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Bronze"
"270","Doina Ofelia Beliu-Melinte",1984,"F",27,171,59,"Romania","ROU","Athletics Women's 800 metres","Gold"
"271","Doina Ofelia Beliu-Melinte",1984,"F",27,171,59,"Romania","ROU","Athletics Women's 1,500 metres","Silver"
"272","Colette Besson (-Nogus)",1968,"F",22,169,58,"France","FRA","Athletics Women's 400 metres","Gold"
"273","Udo Beyer",1976,"M",20,195,135,"East Germany","GDR","Athletics Men's Shot Put","Gold"
"274","Udo Beyer",1980,"M",24,195,135,"East Germany","GDR","Athletics Men's Shot Put","Bronze"
"275","Uwe Beyer",1964,"M",19,191,108,"Germany","GER","Athletics Men's Hammer Throw","Bronze"
"276","Nezha Bidouane",2000,"F",30,174,65,"Morocco","MAR","Athletics Women's 400 metres Hurdles","Bronze"
"277","Ferdinand Reinhardt Bie",1912,"M",24,174,72,"Norway","NOR","Athletics Men's Pentathlon","Gold"
"278","Anni Biechl (-Capeller)",1960,"F",20,163,60,"Germany","GER","Athletics Women's 4 x 100 metres Relay","Silver"
"279","Ivan Pavlovych Bieliaiev",1964,"M",29,178,67,"Soviet Union","URS","Athletics Men's 3,000 metres Steeplechase","Bronze"
"280","Jerome Cousins Biffle",1952,"M",24,184,79,"United States","USA","Athletics Men's Long Jump","Gold"
"281","Mary Denise Bignal-Rand (-Toomey, -Reese)",1964,"F",24,173,61,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"282","Mary Denise Bignal-Rand (-Toomey, -Reese)",1964,"F",24,173,61,"Great Britain","GBR","Athletics Women's Long Jump","Gold"
"283","Mary Denise Bignal-Rand (-Toomey, -Reese)",1964,"F",24,173,61,"Great Britain","GBR","Athletics Women's Pentathlon","Silver"
"284","Abebe Bikila",1960,"M",28,177,57,"Ethiopia","ETH","Athletics Men's Marathon","Gold"
"285","Abebe Bikila",1964,"M",32,177,57,"Ethiopia","ETH","Athletics Men's Marathon","Gold"
"286","John Arthur Biller",1904,"M",26,NA,NA,"United States","USA","Athletics Men's Standing Long Jump","Bronze"
"287","John Arthur Biller",1908,"M",30,NA,NA,"United States","USA","Athletics Men's Standing High Jump","Silver"
"288","Michael Allen Oswald Bingham",2008,"M",22,183,75,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"289","Dane Alex Bird-Smith",2016,"M",24,187,72,"Australia","AUS","Athletics Men's 20 kilometres Walk","Bronze"
"290","Matthew Kiprotich Birir",1992,"M",20,172,62,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Gold"
"291","Paul Ezekiel Bitok",1992,"M",22,173,58,"Kenya","KEN","Athletics Men's 5,000 metres","Silver"
"292","Paul Ezekiel Bitok",1996,"M",26,173,58,"Kenya","KEN","Athletics Men's 5,000 metres","Silver"
"293","Amos Kipwabok Biwott",1968,"M",21,181,66,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Gold"
"294","Edmund Franklin ""Ed"" Black",1928,"M",23,178,75,"United States","USA","Athletics Men's Hammer Throw","Bronze"
"295","Lawrence Jeffery ""Larry"" Black",1972,"M",21,186,80,"United States","USA","Athletics Men's 200 metres","Silver"
"296","Lawrence Jeffery ""Larry"" Black",1972,"M",21,186,80,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"297","Marilyn Mary Black (-Vassella)",1964,"F",20,165,55,"Australia","AUS","Athletics Women's 200 metres","Bronze"
"298","Roger Anthony Black",1992,"M",26,190,79,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"299","Roger Anthony Black",1996,"M",30,190,79,"Great Britain","GBR","Athletics Men's 400 metres","Silver"
"300","Roger Anthony Black",1996,"M",30,190,79,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"301","Michael Blackwood",2000,"M",21,190,79,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Silver"
"302","Yordanka Blagoeva Ivanova",1972,"F",25,175,64,"Bulgaria","BUL","Athletics Women's High Jump","Silver"
"303","Yordanka Blagoeva Ivanova",1976,"F",29,175,64,"Bulgaria","BUL","Athletics Women's High Jump","Bronze"
"304","Arthur Charles Blake",1896,"M",24,NA,NA,"United States","USA","Athletics Men's 1,500 metres","Silver"
"305","Dennis Anthony Blake",1996,"M",25,186,70,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Bronze"
"306","Yohan Blake",2012,"M",22,180,80,"Jamaica","JAM","Athletics Men's 100 metres","Silver"
"307","Yohan Blake",2012,"M",22,180,80,"Jamaica","JAM","Athletics Men's 200 metres","Silver"
"308","Yohan Blake",2012,"M",22,180,80,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"309","Yohan Blake",2016,"M",26,180,80,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"310","Harriet Claiborne Bland (-Green)",1936,"F",21,163,50,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"311","Francina Elsje ""Fanny"" Blankers-Koen",1948,"F",30,175,63,"Netherlands","NED","Athletics Women's 100 metres","Gold"
"312","Francina Elsje ""Fanny"" Blankers-Koen",1948,"F",30,175,63,"Netherlands","NED","Athletics Women's 200 metres","Gold"
"313","Francina Elsje ""Fanny"" Blankers-Koen",1948,"F",30,175,63,"Netherlands","NED","Athletics Women's 80 metres Hurdles","Gold"
"314","Francina Elsje ""Fanny"" Blankers-Koen",1948,"F",30,175,63,"Netherlands","NED","Athletics Women's 4 x 100 metres Relay","Gold"
"315","Erwin Blask",1936,"M",26,180,97,"Germany","GER","Athletics Men's Hammer Throw","Silver"
"316","Keston Bledman",2008,"M",20,180,88,"Trinidad and Tobago","TTO","Athletics Men's 4 x 100 metres Relay","Gold"
"317","Keston Bledman",2012,"M",24,180,88,"Trinidad and Tobago","TTO","Athletics Men's 4 x 100 metres Relay","Silver"
"318","Charles Edward ""Joe"" Blewitt",1920,"M",24,NA,NA,"Great Britain","GBR","Athletics Men's 3,000 metres, Team","Silver"
"319","Lillian Barbara Board",1968,"F",19,168,60,"Great Britain","GBR","Athletics Women's 400 metres","Silver"
"320","Nataliya Valeryevna Bochina",1980,"F",18,173,55,"Soviet Union","URS","Athletics Women's 200 metres","Silver"
"321","Nataliya Valeryevna Bochina",1980,"F",18,173,55,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Silver"
"322","Inge Bdding (Eckhoff-)",1972,"F",25,154,48,"West Germany","FRG","Athletics Women's 4 x 400 metres Relay","Bronze"
"323","Carla Bodendorf (Rietig-)",1976,"F",22,164,58,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Gold"
"324","Christine Bodner-Laser",1976,"F",25,179,68,"East Germany","GDR","Athletics Women's Pentathlon","Silver"
"325","dn Bodor (Krausz-)",1908,"M",26,NA,NA,"Hungary","HUN","Athletics Men's 1,600 metres Medley Relay","Bronze"
"326","Olga Mikhaylovna Bogoslovskaya (Naumkina-, -Guberniyeva, -Vasilyeva)",1992,"F",28,166,54,"Unified Team","EUN","Athletics Women's 4 x 100 metres Relay","Silver"
"327","Michael Kipsubut ""Mike"" Boit",1972,"M",23,180,68,"Kenya","KEN","Athletics Men's 800 metres","Bronze"
"328","Wilson Boit Kipketer",2000,"M",26,167,52,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Silver"
"329","Jeanette Bolden",1984,"F",24,174,65,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"330","Ato Jabari Boldon",1996,"M",22,176,75,"Trinidad and Tobago","TTO","Athletics Men's 100 metres","Bronze"
"331","Ato Jabari Boldon",1996,"M",22,176,75,"Trinidad and Tobago","TTO","Athletics Men's 200 metres","Bronze"
"332","Ato Jabari Boldon",2000,"M",26,176,75,"Trinidad and Tobago","TTO","Athletics Men's 100 metres","Silver"
"333","Ato Jabari Boldon",2000,"M",26,176,75,"Trinidad and Tobago","TTO","Athletics Men's 200 metres","Bronze"
"334","Pyotr Grogoryevich Bolotnikov",1960,"M",30,173,64,"Soviet Union","URS","Athletics Men's 10,000 metres","Gold"
"335","Usain St. Leo Bolt",2008,"M",21,196,95,"Jamaica","JAM","Athletics Men's 100 metres","Gold"
"336","Usain St. Leo Bolt",2008,"M",21,196,95,"Jamaica","JAM","Athletics Men's 200 metres","Gold"
"337","Usain St. Leo Bolt",2012,"M",25,196,95,"Jamaica","JAM","Athletics Men's 100 metres","Gold"
"338","Usain St. Leo Bolt",2012,"M",25,196,95,"Jamaica","JAM","Athletics Men's 200 metres","Gold"
"339","Usain St. Leo Bolt",2012,"M",25,196,95,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"340","Usain St. Leo Bolt",2016,"M",29,196,95,"Jamaica","JAM","Athletics Men's 100 metres","Gold"
"341","Usain St. Leo Bolt",2016,"M",29,196,95,"Jamaica","JAM","Athletics Men's 200 metres","Gold"
"342","Usain St. Leo Bolt",2016,"M",29,196,95,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"343","Naftali Bon",1968,"M",23,177,61,"Kenya","KEN","Athletics Men's 4 x 400 metres Relay","Silver"
"344","Anatoliy Pavlovych Bondarchuk",1972,"M",32,183,113,"Soviet Union","URS","Athletics Men's Hammer Throw","Gold"
"345","Anatoliy Pavlovych Bondarchuk",1976,"M",36,183,113,"Soviet Union","URS","Athletics Men's Hammer Throw","Bronze"
"346","Bohdan Viktorovych Bondarenko",2016,"M",26,198,77,"Ukraine","UKR","Athletics Men's High Jump","Bronze"
"347","Olga Petrovna Bondarenko (Krentser-)",1988,"F",28,154,42,"Soviet Union","URS","Athletics Women's 10,000 metres","Gold"
"348","George Valentine Bonhag",1906,"M",24,179,60,"United States","USA","Athletics Men's 1,500 metres Walk","Gold"
"349","George Valentine Bonhag",1908,"M",26,179,60,"United States","USA","Athletics Men's 3 mile, Team","Silver"
"350","George Valentine Bonhag",1912,"M",30,179,60,"United States","USA","Athletics Men's 3,000 metres, Team","Gold"
"351","Louis Victor Marie Bonniot de Fleurac",1908,"M",31,NA,NA,"France","FRA","Athletics Men's 3 mile, Team","Bronze"
"352","Paul Pierre Bontemps",1924,"M",21,NA,NA,"France","FRA","Athletics Men's 3,000 metres Steeplechase","Bronze"
"353","Jacob ""Jaap"" Boot",1924,"M",21,NA,NA,"Netherlands","NED","Athletics Men's 4 x 100 metres Relay","Bronze"
"354","Verne Hobson Booth",1924,"M",25,185,68,"United States","USA","Athletics Men's Cross-Country, Team","Silver"
"355","Charles Edward ""Charley"" Borah",1928,"M",22,178,68,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"356","Valeriy Viktorovich Borchin",2008,"M",21,178,63,"Russia","RUS","Athletics Men's 20 kilometres Walk","Gold"
"357","Erich Borchmeyer",1932,"M",27,178,81,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Silver"
"358","Erich Borchmeyer",1936,"M",31,178,81,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Bronze"
"359","Gelindo Bordin",1988,"M",29,180,68,"Italy","ITA","Athletics Men's Marathon","Gold"
"360","Olivia Borle",2008,"F",22,172,57,"Belgium","BEL","Athletics Women's 4 x 100 metres Relay","Silver"
"361","Yury Mikhaylovich Borzakovsky",2004,"M",23,183,70,"Russia","RUS","Athletics Men's 800 metres","Gold"
"362","Valeriy Pylypovych Borzov",1972,"M",22,183,80,"Soviet Union","URS","Athletics Men's 100 metres","Gold"
"363","Valeriy Pylypovych Borzov",1972,"M",22,183,80,"Soviet Union","URS","Athletics Men's 200 metres","Gold"
"364","Valeriy Pylypovych Borzov",1972,"M",22,183,80,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"365","Valeriy Pylypovych Borzov",1976,"M",26,183,80,"Soviet Union","URS","Athletics Men's 100 metres","Bronze"
"366","Valeriy Pylypovych Borzov",1976,"M",26,183,80,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Bronze"
"367","Ralph Harold Boston",1960,"M",21,187,74,"United States","USA","Athletics Men's Long Jump","Gold"
"368","Ralph Harold Boston",1964,"M",25,187,74,"United States","USA","Athletics Men's Long Jump","Silver"
"369","Ralph Harold Boston",1968,"M",29,187,74,"United States","USA","Athletics Men's Long Jump","Bronze"
"370","Alexandre Franois tienne Jean Bouin",1908,"M",19,172,70,"France","FRA","Athletics Men's 3 mile, Team","Bronze"
"371","Alexandre Franois tienne Jean Bouin",1912,"M",23,172,70,"France","FRA","Athletics Men's 5,000 metres","Silver"
"372","Khalid Boulami",1996,"M",26,167,60,"Morocco","MAR","Athletics Men's 5,000 metres","Bronze"
"373","Hassiba Boulmerka",1992,"F",24,158,49,"Algeria","ALG","Athletics Women's 1,500 metres","Gold"
"374","Clifford Frederick ""Cliff"" Bourland",1948,"M",27,183,75,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"375","Moulay Brahim Boutayeb",1988,"M",21,171,60,"Morocco","MAR","Athletics Men's 10,000 metres","Gold"
"376","Frentorish ""Tori"" Bowie",2016,"F",25,175,58,"United States","USA","Athletics Women's 100 metres","Silver"
"377","Frentorish ""Tori"" Bowie",2016,"F",25,175,58,"United States","USA","Athletics Women's 200 metres","Bronze"
"378","Frentorish ""Tori"" Bowie",2016,"F",25,175,58,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"379","Renate Boy-Garisch-Culmberger",1964,"F",25,175,98,"Germany","GER","Athletics Women's Shot Put","Silver"
"380","Raelene Ann Boyle",1968,"F",17,168,57,"Australia","AUS","Athletics Women's 200 metres","Silver"
"381","Raelene Ann Boyle",1972,"F",21,168,57,"Australia","AUS","Athletics Women's 100 metres","Silver"
"382","Raelene Ann Boyle",1972,"F",21,168,57,"Australia","AUS","Athletics Women's 200 metres","Silver"
"383","Audun Boysen",1956,"M",27,181,66,"Norway","NOR","Athletics Men's 800 metres","Bronze"
"384","Everett Lewis Bradley",1920,"M",22,178,79,"United States","USA","Athletics Men's Pentathlon","Silver"
"385","Donald George ""Don"" Bragg",1960,"M",25,190,89,"United States","USA","Athletics Men's Pole Vault","Gold"
"386","Lyudmila Ivanovna Bragina",1972,"F",29,165,57,"Soviet Union","URS","Athletics Women's 1,500 metres","Gold"
"387","Esther Cornelia Brand (van Heerden-)",1952,"F",29,NA,NA,"South Africa","RSA","Athletics Women's High Jump","Gold"
"388","Christopher William ""Chris"" Brasher",1956,"M",28,NA,NA,"Great Britain","GBR","Athletics Men's 3,000 metres Steeplechase","Gold"
"389","Ellen Braumller (-Hassauer)",1932,"F",21,170,68,"Germany","GER","Athletics Women's Javelin Throw","Silver"
"390","Johannes ""Hanns"" Braun",1908,"M",21,180,68,"Germany","GER","Athletics Men's 800 metres","Bronze"
"391","Johannes ""Hanns"" Braun",1908,"M",21,180,68,"Germany","GER","Athletics Men's 1,600 metres Medley Relay","Silver"
"392","Johannes ""Hanns"" Braun",1912,"M",25,180,68,"Germany","GER","Athletics Men's 400 metres","Silver"
"393","Sabine Braun",1992,"F",27,174,65,"Germany","GER","Athletics Women's Heptathlon","Bronze"
"394","John Bray",1900,"M",24,NA,NA,"United States","USA","Athletics Men's 1,500 metres","Bronze"
"395","Thiago Braz da Silva",2016,"M",22,183,75,"Brazil","BRA","Athletics Men's Pole Vault","Gold"
"396","Christina Brehmer-Lathan",1976,"F",18,169,57,"East Germany","GDR","Athletics Women's 400 metres","Silver"
"397","Christina Brehmer-Lathan",1976,"F",18,169,57,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Gold"
"398","Christina Brehmer-Lathan",1980,"F",22,169,57,"East Germany","GDR","Athletics Women's 400 metres","Bronze"
"399","Christina Brehmer-Lathan",1980,"F",22,169,57,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Silver"
"400","Emil William Breitkreutz",1904,"M",20,NA,NA,"United States","USA","Athletics Men's 800 metres","Bronze"
