"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3691","Jimmy Vicaut",2012,"M",20,188,83,"France","FRA","Athletics Men's 4 x 100 metres Relay"
"3692","Janeene Hope Vickers (-McKinney)",1992,"F",23,170,62,"United States","USA","Athletics Women's 400 metres Hurdles"
"3693","Stanley Frank ""Stan"" Vickers",1960,"M",28,185,60,"Great Britain","GBR","Athletics Men's 20 kilometres Walk"
"3694","Thierry Georges Vigneron",1984,"M",24,181,73,"France","FRA","Athletics Men's Pole Vault"
"3695","Sunette Stella Viljoen",2016,"F",32,170,72,"South Africa","RSA","Athletics Women's Javelin Throw"
"3696","Lasse Artturi Virn",1972,"M",23,180,60,"Finland","FIN","Athletics Men's 5,000 metres"
"3697","Lasse Artturi Virn",1972,"M",23,180,60,"Finland","FIN","Athletics Men's 10,000 metres"
"3698","Lasse Artturi Virn",1976,"M",26,180,60,"Finland","FIN","Athletics Men's 5,000 metres"
"3699","Lasse Artturi Virn",1976,"M",26,180,60,"Finland","FIN","Athletics Men's 10,000 metres"
"3700","Lauri Johannes ""Lasse"" Virtanen",1932,"M",27,172,68,"Finland","FIN","Athletics Men's 5,000 metres"
"3701","Lauri Johannes ""Lasse"" Virtanen",1932,"M",27,172,68,"Finland","FIN","Athletics Men's 10,000 metres"
"3702","Viorica Viscopoleanu (Belmega-)",1968,"F",29,164,55,"Romania","ROU","Athletics Women's Long Jump"
"3703","Nicola Vizzoni",2000,"M",26,193,126,"Italy","ITA","Athletics Men's Hammer Throw"
"3704","Blanka Vlai",2008,"F",24,193,71,"Croatia","CRO","Athletics Women's High Jump"
"3705","Blanka Vlai",2016,"F",32,193,71,"Croatia","CRO","Athletics Women's High Jump"
"3706","Angela Voigt (Schmalfeld-)",1976,"F",25,171,63,"East Germany","GDR","Athletics Women's Long Jump"
"3707","Emil Robert Voigt",1908,"M",25,165,53,"Great Britain","GBR","Athletics Men's 5 mile"
"3708","Harry-Carl Voigt",1936,"M",23,185,76,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"3709","Konstantin Yuryevich Volkov",1980,"M",20,184,74,"Soviet Union","URS","Athletics Men's Pole Vault"
"3710","Yekaterina Gennadyevna Volkova (-Mastrova)",2008,"F",30,166,56,"Russia","RUS","Athletics Women's 3,000 metres Steeplechase"
"3711","Wilhelmina Catherine ""Billie"" von Bremen (-Asch)",1932,"F",22,182,68,"United States","USA","Athletics Women's 100 metres"
"3712","Wilhelmina Catherine ""Billie"" von Bremen (-Asch)",1932,"F",22,182,68,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"3713","Friedrich Gottlob Paul Ferdinand von Stlpnagel",1936,"M",23,187,70,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"3714","Christopher Vose",1920,"M",33,NA,NA,"Great Britain","GBR","Athletics Men's Cross-Country, Team"
"3715","Torsten Voss",1988,"M",25,186,88,"East Germany","GDR","Athletics Men's Decathlon"
"3716","Aleksey Nikolayevich Voyevodin",2004,"M",34,178,68,"Russia","RUS","Athletics Men's 50 kilometres Walk"
"3717","Christine Wachtel (-Guth)",1988,"F",23,166,56,"East Germany","GDR","Athletics Women's 800 metres"
"3718","Erick Wainaina",1996,"M",22,175,58,"Kenya","KEN","Athletics Men's Marathon"
"3719","Erick Wainaina",2000,"M",26,175,58,"Kenya","KEN","Athletics Men's Marathon"
"3720","Jadwiga Wajs-Marcinkiewicz (-Grtkiewicz)",1932,"F",20,166,72,"Poland","POL","Athletics Women's Discus Throw"
"3721","Jadwiga Wajs-Marcinkiewicz (-Grtkiewicz)",1936,"F",24,166,72,"Poland","POL","Athletics Women's Discus Throw"
"3722","Douglas Wakiihuri Maina",1988,"M",24,186,65,"Kenya","KEN","Athletics Men's Marathon"
"3723","Stanisawa Walasiewicz (-Walsh, -Olson)",1932,"F",21,174,60,"Poland","POL","Athletics Women's 100 metres"
"3724","Stanisawa Walasiewicz (-Walsh, -Olson)",1936,"F",25,174,60,"Poland","POL","Athletics Women's 100 metres"
"3725","Keshorn Walcott",2012,"M",19,183,90,"Trinidad and Tobago","TTO","Athletics Men's Javelin Throw"
"3726","Keshorn Walcott",2016,"M",23,183,90,"Trinidad and Tobago","TTO","Athletics Men's Javelin Throw"
"3727","Hans-Joachim Walde",1964,"M",22,191,89,"Germany","GER","Athletics Men's Decathlon"
"3728","Hans-Joachim Walde",1968,"M",26,191,89,"West Germany","FRG","Athletics Men's Decathlon"
"3729","John George Walker",1976,"M",24,183,74,"New Zealand","NZL","Athletics Men's 1,500 metres"
"3730","Melaine Antoinette Walker",2008,"F",25,165,53,"Jamaica","JAM","Athletics Women's 400 metres Hurdles"
"3731","Reginald Edgar ""Reggie"" Walker",1908,"M",19,170,61,"South Africa","RSA","Athletics Men's 100 metres"
